threat_id,type,severity,description,indicators
28,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
29,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
30,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, IPv4"
31,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,domain
32,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"domain, IPv4"
33,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, hostname, FileHash-SHA256"
34,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
35,denial-of-service,3,Denial-of-service threat detected. IP compromised.,FileHash-MD5
36,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5"
37,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL, CVE"
38,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4"
39,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
40,phishing,1,Phishing threat detected. URL compromised.,"FileHash-MD5, IPv4, FileHash-SHA256"
41,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
42,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
43,ransomware,5,Ransomware threat detected. File Hash compromised.,"IPv4, FileHash-SHA256"
44,denial-of-service,3,Denial-of-service threat detected. IP compromised.,domain
45,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
46,phishing,1,Phishing threat detected. URL compromised.,FileHash-SHA256
47,denial-of-service,1,Denial-of-service threat detected. IP compromised.,domain
48,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, CIDR, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL"
49,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
50,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
51,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
52,social-engineering,1,Social engineering threat detected. URL compromised.,"CVE, hostname"
53,social-engineering,5,Social engineering threat detected. URL compromised.,domain
54,phishing,5,Phishing threat detected. URL compromised.,domain
55,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, URL"
56,ransomware,3,Ransomware threat detected. File Hash compromised.,domain
57,phishing,3,Phishing threat detected. URL compromised.,domain
58,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
59,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname"
60,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
61,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, hostname, FileHash-SHA256, FileHash-SHA1, CVE"
62,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
63,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
64,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, URL"
65,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname"
66,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
67,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA1, IPv4, URL, CVE"
68,phishing,3,Phishing threat detected. URL compromised.,"CVE, domain, hostname"
69,denial-of-service,5,Denial-of-service threat detected. IP compromised.,IPv4
70,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
71,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
72,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
73,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, hostname, FileHash-SHA1, FileHash-SHA256, URL, CVE"
74,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
75,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"domain, hostname"
76,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4"
77,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
78,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4"
79,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, hostname, FileHash-SHA256, IPv4, URL"
80,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, IPv4, URL, FileHash-SHA256"
81,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, IPv4, URL"
82,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, hostname, URL, FileHash-SHA256"
83,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, YARA"
84,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, email, FileHash-SHA1"
85,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-SHA256"
86,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, URL"
87,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
88,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
89,phishing,5,Phishing threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, CVE"
90,phishing,5,Phishing threat detected. URL compromised.,"CVE, IPv4"
91,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL, CVE"
92,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"CVE, FileHash-MD5, IPv4"
93,ransomware,3,Ransomware threat detected. File Hash compromised.,"CVE, IPv4"
94,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
95,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"domain, hostname"
96,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, IPv4, FileHash-SHA1"
97,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
98,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, hostname, FileHash-SHA1"
99,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
100,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, CVE"
101,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA1"
102,social-engineering,3,Social engineering threat detected. URL compromised.,FileHash-MD5
103,social-engineering,3,Social engineering threat detected. URL compromised.,"hostname, FileHash-SHA256"
104,phishing,1,Phishing threat detected. URL compromised.,"FileHash-MD5, IPv4, FileHash-SHA1, FileHash-SHA256"
105,denial-of-service,1,Denial-of-service threat detected. IP compromised.,IPv4
106,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
107,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
108,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
109,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
110,social-engineering,3,Social engineering threat detected. URL compromised.,FileHash-MD5
111,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, CVE"
112,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
113,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, email, FileHash-SHA1"
114,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
115,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
116,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
117,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, CVE, FileHash-SHA1"
118,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
119,ransomware,5,Ransomware threat detected. File Hash compromised.,FileHash-SHA1
120,social-engineering,1,Social engineering threat detected. URL compromised.,"CVE, IPv4"
121,ransomware,5,Ransomware threat detected. File Hash compromised.,"IPv4, FileHash-SHA256"
122,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
123,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
124,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, hostname"
125,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
126,ransomware,3,Ransomware threat detected. File Hash compromised.,IPv4
127,denial-of-service,3,Denial-of-service threat detected. IP compromised.,FileHash-MD5
128,ransomware,3,Ransomware threat detected. File Hash compromised.,"URL, FileHash-SHA256"
129,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
130,ransomware,5,Ransomware threat detected. File Hash compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
131,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-MD5
132,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"IPv4, FileHash-SHA256"
133,phishing,5,Phishing threat detected. URL compromised.,FileHash-MD5
134,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
135,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
136,phishing,3,Phishing threat detected. URL compromised.,FileHash-SHA256
137,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
138,phishing,1,Phishing threat detected. URL compromised.,"IPv4, URL, FileHash-SHA256"
139,ransomware,3,Ransomware threat detected. File Hash compromised.,FileHash-SHA256
140,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"URL, hostname"
141,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, hostname"
142,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
143,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
144,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, FileHash-SHA256"
145,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
146,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, hostname, domain, FileHash-SHA256"
147,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
148,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, CVE"
149,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
150,ransomware,1,Ransomware threat detected. File Hash compromised.,URL
151,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL"
152,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
153,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
154,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-MD5, email, FileHash-SHA256"
155,phishing,1,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5"
156,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5"
157,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, email, hostname"
158,phishing,5,Phishing threat detected. URL compromised.,URL
159,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
160,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
161,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
162,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, URL, FileHash-SHA1"
163,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE, YARA"
164,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
165,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA1, FileHash-SHA256"
166,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL"
167,phishing,1,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
168,social-engineering,5,Social engineering threat detected. URL compromised.,FileHash-MD5
169,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
170,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL"
171,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
172,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
173,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256"
174,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4"
175,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
176,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
177,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
178,social-engineering,3,Social engineering threat detected. URL compromised.,"URL, FileHash-SHA256"
179,denial-of-service,5,Denial-of-service threat detected. IP compromised.,FileHash-SHA256
180,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, hostname"
181,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
182,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
183,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, URL"
184,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, IPv4"
185,phishing,1,Phishing threat detected. URL compromised.,"domain, IPv4, hostname"
186,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-MD5, hostname, IPv4, URL, CVE"
187,phishing,3,Phishing threat detected. URL compromised.,domain
188,phishing,3,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
189,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1"
190,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
191,denial-of-service,1,Denial-of-service threat detected. IP compromised.,FileHash-SHA1
192,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, hostname, FileHash-SHA1, FileHash-SHA256"
193,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
194,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, URL, FileHash-SHA256"
195,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
196,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, hostname, URL, FileHash-SHA256"
197,social-engineering,1,Social engineering threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
198,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
199,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
200,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
201,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
202,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, URL"
203,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, YARA"
204,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
205,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
206,phishing,5,Phishing threat detected. URL compromised.,"CVE, URL, domain"
207,ransomware,3,Ransomware threat detected. File Hash compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
208,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE, BitcoinAddress"
209,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, URL, FileHash-SHA256"
210,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
211,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
212,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
213,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
214,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
215,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
216,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
217,phishing,1,Phishing threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA1, FileHash-SHA256"
218,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
219,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
220,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
221,ransomware,1,Ransomware threat detected. File Hash compromised.,domain
222,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, YARA"
223,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
224,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
225,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, URL"
226,denial-of-service,1,Denial-of-service threat detected. IP compromised.,domain
227,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
228,social-engineering,1,Social engineering threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
229,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
230,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256"
231,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, hostname, URL"
232,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
233,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, hostname, FileHash-SHA256"
234,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
235,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
236,social-engineering,3,Social engineering threat detected. URL compromised.,"URL, FileHash-SHA256"
237,phishing,1,Phishing threat detected. URL compromised.,"email, hostname, URL, FileHash-SHA256"
238,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
239,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
240,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
241,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
242,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
243,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
244,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
245,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
246,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, hostname"
247,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, CVE"
248,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, email, domain, hostname"
249,ransomware,1,Ransomware threat detected. File Hash compromised.,"CVE, URL, FileHash-SHA1, hostname"
250,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
251,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
